Train: 	Epoch    0	Batch   0	Step      1	Loss 1.609511	UAR 0.218182	lr 0.000001
Train: 	Epoch    7	Batch   9	Step     80	Loss 1.608202	UAR 0.200000	lr 0.000080
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch    8	Batch   0	Step     81	Loss 1.608181	UAR 0.244444	lr 0.000081
Train: 	Epoch    8	Batch   1	Step     82	Loss 1.608207	UAR 0.200000	lr 0.000082
Train: 	Epoch    8	Batch   2	Step     83	Loss 1.608182	UAR 0.250000	lr 0.000083
Train: 	Epoch    8	Batch   3	Step     84	Loss 1.608205	UAR 0.200000	lr 0.000084
Train: 	Epoch    8	Batch   4	Step     85	Loss 1.608152	UAR 0.360000	lr 0.000085
Train: 	Epoch    8	Batch   5	Step     86	Loss 1.608185	UAR 0.200000	lr 0.000086
Train: 	Epoch    8	Batch   6	Step     87	Loss 1.608181	UAR 0.200000	lr 0.000087
Train: 	Epoch    8	Batch   7	Step     88	Loss 1.608200	UAR 0.215385	lr 0.000088
Train: 	Epoch    8	Batch   8	Step     89	Loss 1.608191	UAR 0.200000	lr 0.000089
Train: 	Epoch    8	Batch   9	Step     90	Loss 1.608196	UAR 0.250000	lr 0.000090
Validate: 	Loss 1.607508	UAR 0.267857
Train: 	Epoch    9	Batch   0	Step     91	Loss 1.608212	UAR 0.228571	lr 0.000091
Train: 	Epoch    9	Batch   1	Step     92	Loss 1.608215	UAR 0.200000	lr 0.000092
Train: 	Epoch    9	Batch   2	Step     93	Loss 1.608193	UAR 0.250000	lr 0.000093
Train: 	Epoch    9	Batch   3	Step     94	Loss 1.608194	UAR 0.200000	lr 0.000094
Train: 	Epoch    9	Batch   4	Step     95	Loss 1.608178	UAR 0.240000	lr 0.000095
Train: 	Epoch    9	Batch   5	Step     96	Loss 1.608180	UAR 0.222222	lr 0.000096
Train: 	Epoch    9	Batch   6	Step     97	Loss 1.608194	UAR 0.200000	lr 0.000097
Train: 	Epoch    9	Batch   7	Step     98	Loss 1.608195	UAR 0.257143	lr 0.000098
Train: 	Epoch    9	Batch   8	Step     99	Loss 1.608201	UAR 0.225000	lr 0.000099
Train: 	Epoch    9	Batch   9	Step    100	Loss 1.608191	UAR 0.250000	lr 0.000100
Validate: 	Loss 1.607506	UAR 0.267857
Train: 	Epoch   10	Batch   0	Step    101	Loss 1.608203	UAR 0.200000	lr 0.000101
Train: 	Epoch   10	Batch   1	Step    102	Loss 1.608199	UAR 0.244444	lr 0.000102
Train: 	Epoch   10	Batch   2	Step    103	Loss 1.608195	UAR 0.250000	lr 0.000103
Train: 	Epoch   10	Batch   3	Step    104	Loss 1.608205	UAR 0.200000	lr 0.000104
Train: 	Epoch   10	Batch   4	Step    105	Loss 1.608217	UAR 0.225000	lr 0.000105
Train: 	Epoch   10	Batch   5	Step    106	Loss 1.608180	UAR 0.300000	lr 0.000106
Train: 	Epoch   10	Batch   6	Step    107	Loss 1.608181	UAR 0.200000	lr 0.000107
Train: 	Epoch   10	Batch   7	Step    108	Loss 1.608185	UAR 0.222222	lr 0.000108
Train: 	Epoch   10	Batch   8	Step    109	Loss 1.608178	UAR 0.200000	lr 0.000109
Train: 	Epoch   10	Batch   9	Step    110	Loss 1.608188	UAR 0.200000	lr 0.000110
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   11	Batch   0	Step    111	Loss 1.608190	UAR 0.233333	lr 0.000111
Train: 	Epoch   11	Batch   1	Step    112	Loss 1.608202	UAR 0.222222	lr 0.000112
Train: 	Epoch   11	Batch   2	Step    113	Loss 1.608183	UAR 0.275000	lr 0.000113
Train: 	Epoch   11	Batch   3	Step    114	Loss 1.608189	UAR 0.200000	lr 0.000114
Train: 	Epoch   11	Batch   4	Step    115	Loss 1.608194	UAR 0.220000	lr 0.000115
Train: 	Epoch   11	Batch   5	Step    116	Loss 1.608196	UAR 0.200000	lr 0.000116
Train: 	Epoch   11	Batch   6	Step    117	Loss 1.608194	UAR 0.200000	lr 0.000117
Train: 	Epoch   11	Batch   7	Step    118	Loss 1.608194	UAR 0.233333	lr 0.000118
Train: 	Epoch   11	Batch   8	Step    119	Loss 1.608181	UAR 0.300000	lr 0.000119
Train: 	Epoch   11	Batch   9	Step    120	Loss 1.608185	UAR 0.200000	lr 0.000120
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   12	Batch   0	Step    121	Loss 1.608183	UAR 0.200000	lr 0.000121
Train: 	Epoch   12	Batch   1	Step    122	Loss 1.608193	UAR 0.240000	lr 0.000122
Train: 	Epoch   12	Batch   2	Step    123	Loss 1.608181	UAR 0.250000	lr 0.000123
Train: 	Epoch   12	Batch   3	Step    124	Loss 1.608188	UAR 0.200000	lr 0.000124
Train: 	Epoch   12	Batch   4	Step    125	Loss 1.608198	UAR 0.225000	lr 0.000125
Train: 	Epoch   12	Batch   5	Step    126	Loss 1.608169	UAR 0.275000	lr 0.000126
Train: 	Epoch   12	Batch   6	Step    127	Loss 1.608169	UAR 0.228571	lr 0.000127
Train: 	Epoch   12	Batch   7	Step    128	Loss 1.608181	UAR 0.200000	lr 0.000128
Train: 	Epoch   12	Batch   8	Step    129	Loss 1.608188	UAR 0.200000	lr 0.000129
Train: 	Epoch   12	Batch   9	Step    130	Loss 1.608182	UAR 0.266667	lr 0.000130
Validate: 	Loss 1.607506	UAR 0.267857
Train: 	Epoch   13	Batch   0	Step    131	Loss 1.608180	UAR 0.228571	lr 0.000131
Train: 	Epoch   13	Batch   1	Step    132	Loss 1.608198	UAR 0.200000	lr 0.000132
Train: 	Epoch   13	Batch   2	Step    133	Loss 1.608192	UAR 0.250000	lr 0.000133
Train: 	Epoch   13	Batch   3	Step    134	Loss 1.608184	UAR 0.240000	lr 0.000134
Train: 	Epoch   13	Batch   4	Step    135	Loss 1.608182	UAR 0.233333	lr 0.000135
Train: 	Epoch   13	Batch   5	Step    136	Loss 1.608178	UAR 0.240000	lr 0.000136
Train: 	Epoch   13	Batch   6	Step    137	Loss 1.608182	UAR 0.222222	lr 0.000137
Train: 	Epoch   13	Batch   7	Step    138	Loss 1.608171	UAR 0.244444	lr 0.000138
Train: 	Epoch   13	Batch   8	Step    139	Loss 1.608177	UAR 0.250000	lr 0.000139
Train: 	Epoch   13	Batch   9	Step    140	Loss 1.608180	UAR 0.200000	lr 0.000140
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   14	Batch   0	Step    141	Loss 1.608176	UAR 0.233333	lr 0.000141
Train: 	Epoch   14	Batch   1	Step    142	Loss 1.608181	UAR 0.228571	lr 0.000142
Train: 	Epoch   14	Batch   2	Step    143	Loss 1.608190	UAR 0.200000	lr 0.000143
Train: 	Epoch   14	Batch   3	Step    144	Loss 1.608168	UAR 0.300000	lr 0.000144
Train: 	Epoch   14	Batch   4	Step    145	Loss 1.608165	UAR 0.228571	lr 0.000145
Train: 	Epoch   14	Batch   5	Step    146	Loss 1.608171	UAR 0.250000	lr 0.000146
Train: 	Epoch   14	Batch   6	Step    147	Loss 1.608178	UAR 0.200000	lr 0.000147
Train: 	Epoch   14	Batch   7	Step    148	Loss 1.608185	UAR 0.200000	lr 0.000148
Train: 	Epoch   14	Batch   8	Step    149	Loss 1.608182	UAR 0.250000	lr 0.000149
Train: 	Epoch   14	Batch   9	Step    150	Loss 1.608178	UAR 0.250000	lr 0.000150
Validate: 	Loss 1.607506	UAR 0.267857
Train: 	Epoch   15	Batch   0	Step    151	Loss 1.608172	UAR 0.250000	lr 0.000151
Train: 	Epoch   15	Batch   1	Step    152	Loss 1.608181	UAR 0.200000	lr 0.000152
Train: 	Epoch   15	Batch   2	Step    153	Loss 1.608171	UAR 0.240000	lr 0.000153
Train: 	Epoch   15	Batch   3	Step    154	Loss 1.608148	UAR 0.250000	lr 0.000154
Train: 	Epoch   15	Batch   4	Step    155	Loss 1.608163	UAR 0.200000	lr 0.000155
Train: 	Epoch   15	Batch   5	Step    156	Loss 1.608163	UAR 0.233333	lr 0.000156
Train: 	Epoch   15	Batch   6	Step    157	Loss 1.608155	UAR 0.240000	lr 0.000157
Train: 	Epoch   15	Batch   7	Step    158	Loss 1.608154	UAR 0.200000	lr 0.000158
Train: 	Epoch   15	Batch   8	Step    159	Loss 1.608169	UAR 0.225000	lr 0.000159
Train: 	Epoch   15	Batch   9	Step    160	Loss 1.608176	UAR 0.000000	lr 0.000160
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   16	Batch   0	Step    161	Loss 1.608176	UAR 0.233333	lr 0.000161
Train: 	Epoch   16	Batch   1	Step    162	Loss 1.608178	UAR 0.233333	lr 0.000162
Train: 	Epoch   16	Batch   2	Step    163	Loss 1.608182	UAR 0.225000	lr 0.000163
Train: 	Epoch   16	Batch   3	Step    164	Loss 1.608156	UAR 0.320000	lr 0.000164
Train: 	Epoch   16	Batch   4	Step    165	Loss 1.608160	UAR 0.233333	lr 0.000165
Train: 	Epoch   16	Batch   5	Step    166	Loss 1.608159	UAR 0.200000	lr 0.000166
Train: 	Epoch   16	Batch   6	Step    167	Loss 1.608161	UAR 0.200000	lr 0.000167
Train: 	Epoch   16	Batch   7	Step    168	Loss 1.608168	UAR 0.233333	lr 0.000168
Train: 	Epoch   16	Batch   8	Step    169	Loss 1.608179	UAR 0.200000	lr 0.000169
Train: 	Epoch   16	Batch   9	Step    170	Loss 1.608174	UAR 0.250000	lr 0.000170
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   17	Batch   0	Step    171	Loss 1.608182	UAR 0.200000	lr 0.000171
Train: 	Epoch   17	Batch   1	Step    172	Loss 1.608180	UAR 0.225000	lr 0.000172
Train: 	Epoch   17	Batch   2	Step    173	Loss 1.608205	UAR 0.200000	lr 0.000173
Train: 	Epoch   17	Batch   3	Step    174	Loss 1.608225	UAR 0.200000	lr 0.000174
Train: 	Epoch   17	Batch   4	Step    175	Loss 1.608217	UAR 0.233333	lr 0.000175
Train: 	Epoch   17	Batch   5	Step    176	Loss 1.608227	UAR 0.200000	lr 0.000176
Train: 	Epoch   17	Batch   6	Step    177	Loss 1.608215	UAR 0.257143	lr 0.000177
Train: 	Epoch   17	Batch   7	Step    178	Loss 1.608215	UAR 0.200000	lr 0.000178
Train: 	Epoch   17	Batch   8	Step    179	Loss 1.608185	UAR 0.288889	lr 0.000179
Train: 	Epoch   17	Batch   9	Step    180	Loss 1.608173	UAR 0.500000	lr 0.000180
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   18	Batch   0	Step    181	Loss 1.608160	UAR 0.257143	lr 0.000181
Train: 	Epoch   18	Batch   1	Step    182	Loss 1.608158	UAR 0.240000	lr 0.000182
Train: 	Epoch   18	Batch   2	Step    183	Loss 1.608155	UAR 0.233333	lr 0.000183
Train: 	Epoch   18	Batch   3	Step    184	Loss 1.608146	UAR 0.240000	lr 0.000184
Train: 	Epoch   18	Batch   4	Step    185	Loss 1.608145	UAR 0.266667	lr 0.000185
Train: 	Epoch   18	Batch   5	Step    186	Loss 1.608149	UAR 0.222222	lr 0.000186
Train: 	Epoch   18	Batch   6	Step    187	Loss 1.608154	UAR 0.200000	lr 0.000187
Train: 	Epoch   18	Batch   7	Step    188	Loss 1.608153	UAR 0.200000	lr 0.000188
Train: 	Epoch   18	Batch   8	Step    189	Loss 1.608163	UAR 0.222222	lr 0.000189
Train: 	Epoch   18	Batch   9	Step    190	Loss 1.608172	UAR 0.000000	lr 0.000190
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   19	Batch   0	Step    191	Loss 1.608177	UAR 0.200000	lr 0.000191
Train: 	Epoch   19	Batch   1	Step    192	Loss 1.608178	UAR 0.200000	lr 0.000192
Train: 	Epoch   19	Batch   2	Step    193	Loss 1.608177	UAR 0.225000	lr 0.000193
Train: 	Epoch   19	Batch   3	Step    194	Loss 1.608189	UAR 0.200000	lr 0.000194
Train: 	Epoch   19	Batch   4	Step    195	Loss 1.608183	UAR 0.257143	lr 0.000195
Train: 	Epoch   19	Batch   5	Step    196	Loss 1.608184	UAR 0.225000	lr 0.000196
Train: 	Epoch   19	Batch   6	Step    197	Loss 1.608183	UAR 0.244444	lr 0.000197
Train: 	Epoch   19	Batch   7	Step    198	Loss 1.608181	UAR 0.240000	lr 0.000198
Train: 	Epoch   19	Batch   8	Step    199	Loss 1.608168	UAR 0.266667	lr 0.000199
Train: 	Epoch   19	Batch   9	Step    200	Loss 1.608171	UAR 0.250000	lr 0.000200
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   20	Batch   0	Step    201	Loss 1.608183	UAR 0.218182	lr 0.000201
Train: 	Epoch   20	Batch   1	Step    202	Loss 1.608147	UAR 0.366667	lr 0.000202
Train: 	Epoch   20	Batch   2	Step    203	Loss 1.608157	UAR 0.200000	lr 0.000203
Train: 	Epoch   20	Batch   3	Step    204	Loss 1.608158	UAR 0.200000	lr 0.000204
Train: 	Epoch   20	Batch   4	Step    205	Loss 1.608165	UAR 0.200000	lr 0.000205
Train: 	Epoch   20	Batch   5	Step    206	Loss 1.608164	UAR 0.200000	lr 0.000206
Train: 	Epoch   20	Batch   6	Step    207	Loss 1.608154	UAR 0.250000	lr 0.000207
Train: 	Epoch   20	Batch   7	Step    208	Loss 1.608166	UAR 0.200000	lr 0.000208
Train: 	Epoch   20	Batch   8	Step    209	Loss 1.608171	UAR 0.200000	lr 0.000209
Train: 	Epoch   20	Batch   9	Step    210	Loss 1.608170	UAR 0.062500	lr 0.000210
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   21	Batch   0	Step    211	Loss 1.608180	UAR 0.200000	lr 0.000211
Train: 	Epoch   21	Batch   1	Step    212	Loss 1.608158	UAR 0.275000	lr 0.000212
Train: 	Epoch   21	Batch   2	Step    213	Loss 1.608157	UAR 0.266667	lr 0.000213
Train: 	Epoch   21	Batch   3	Step    214	Loss 1.608160	UAR 0.200000	lr 0.000214
Train: 	Epoch   21	Batch   4	Step    215	Loss 1.608163	UAR 0.200000	lr 0.000215
Train: 	Epoch   21	Batch   5	Step    216	Loss 1.608177	UAR 0.200000	lr 0.000216
Train: 	Epoch   21	Batch   6	Step    217	Loss 1.608170	UAR 0.280000	lr 0.000217
Train: 	Epoch   21	Batch   7	Step    218	Loss 1.608160	UAR 0.240000	lr 0.000218
Train: 	Epoch   21	Batch   8	Step    219	Loss 1.608165	UAR 0.200000	lr 0.000219
Train: 	Epoch   21	Batch   9	Step    220	Loss 1.608169	UAR 0.200000	lr 0.000220
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   22	Batch   0	Step    221	Loss 1.608174	UAR 0.200000	lr 0.000221
Train: 	Epoch   22	Batch   1	Step    222	Loss 1.608164	UAR 0.280000	lr 0.000222
Train: 	Epoch   22	Batch   2	Step    223	Loss 1.608160	UAR 0.250000	lr 0.000223
Train: 	Epoch   22	Batch   3	Step    224	Loss 1.608171	UAR 0.244444	lr 0.000224
Train: 	Epoch   22	Batch   4	Step    225	Loss 1.608167	UAR 0.233333	lr 0.000225
Train: 	Epoch   22	Batch   5	Step    226	Loss 1.608170	UAR 0.200000	lr 0.000226
Train: 	Epoch   22	Batch   6	Step    227	Loss 1.608181	UAR 0.200000	lr 0.000227
Train: 	Epoch   22	Batch   7	Step    228	Loss 1.608185	UAR 0.200000	lr 0.000228
Train: 	Epoch   22	Batch   8	Step    229	Loss 1.608172	UAR 0.250000	lr 0.000229
Train: 	Epoch   22	Batch   9	Step    230	Loss 1.608168	UAR 0.200000	lr 0.000230
Validate: 	Loss 1.607506	UAR 0.267857
Train: 	Epoch   23	Batch   0	Step    231	Loss 1.608181	UAR 0.216667	lr 0.000231
Train: 	Epoch   23	Batch   1	Step    232	Loss 1.608171	UAR 0.225000	lr 0.000232
Train: 	Epoch   23	Batch   2	Step    233	Loss 1.608164	UAR 0.266667	lr 0.000233
Train: 	Epoch   23	Batch   3	Step    234	Loss 1.608161	UAR 0.200000	lr 0.000234
Train: 	Epoch   23	Batch   4	Step    235	Loss 1.608164	UAR 0.233333	lr 0.000235
Train: 	Epoch   23	Batch   5	Step    236	Loss 1.608155	UAR 0.285714	lr 0.000236
Train: 	Epoch   23	Batch   6	Step    237	Loss 1.608148	UAR 0.200000	lr 0.000237
Train: 	Epoch   23	Batch   7	Step    238	Loss 1.608156	UAR 0.200000	lr 0.000238
Train: 	Epoch   23	Batch   8	Step    239	Loss 1.608165	UAR 0.200000	lr 0.000239
Train: 	Epoch   23	Batch   9	Step    240	Loss 1.608167	UAR 0.250000	lr 0.000240
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   24	Batch   0	Step    241	Loss 1.608168	UAR 0.228571	lr 0.000241
Train: 	Epoch   24	Batch   1	Step    242	Loss 1.608165	UAR 0.228571	lr 0.000242
Train: 	Epoch   24	Batch   2	Step    243	Loss 1.608159	UAR 0.240000	lr 0.000243
Train: 	Epoch   24	Batch   3	Step    244	Loss 1.608154	UAR 0.228571	lr 0.000244
Train: 	Epoch   24	Batch   4	Step    245	Loss 1.608155	UAR 0.228571	lr 0.000245
Train: 	Epoch   24	Batch   5	Step    246	Loss 1.608161	UAR 0.233333	lr 0.000246
Train: 	Epoch   24	Batch   6	Step    247	Loss 1.608166	UAR 0.200000	lr 0.000247
Train: 	Epoch   24	Batch   7	Step    248	Loss 1.608174	UAR 0.228571	lr 0.000248
Train: 	Epoch   24	Batch   8	Step    249	Loss 1.608168	UAR 0.266667	lr 0.000249
Train: 	Epoch   24	Batch   9	Step    250	Loss 1.608166	UAR 0.100000	lr 0.000250
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   25	Batch   0	Step    251	Loss 1.608165	UAR 0.233333	lr 0.000251
Train: 	Epoch   25	Batch   1	Step    252	Loss 1.608161	UAR 0.250000	lr 0.000252
Train: 	Epoch   25	Batch   2	Step    253	Loss 1.608159	UAR 0.225000	lr 0.000253
Train: 	Epoch   25	Batch   3	Step    254	Loss 1.608159	UAR 0.225000	lr 0.000254
Train: 	Epoch   25	Batch   4	Step    255	Loss 1.608164	UAR 0.200000	lr 0.000255
Train: 	Epoch   25	Batch   5	Step    256	Loss 1.608172	UAR 0.200000	lr 0.000256
Train: 	Epoch   25	Batch   6	Step    257	Loss 1.608160	UAR 0.280000	lr 0.000257
Train: 	Epoch   25	Batch   7	Step    258	Loss 1.608166	UAR 0.222222	lr 0.000258
Train: 	Epoch   25	Batch   8	Step    259	Loss 1.608163	UAR 0.233333	lr 0.000259
Train: 	Epoch   25	Batch   9	Step    260	Loss 1.608166	UAR 0.000000	lr 0.000260
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   26	Batch   0	Step    261	Loss 1.608154	UAR 0.320000	lr 0.000261
Train: 	Epoch   26	Batch   1	Step    262	Loss 1.608157	UAR 0.225000	lr 0.000262
Train: 	Epoch   26	Batch   2	Step    263	Loss 1.608160	UAR 0.200000	lr 0.000263
Train: 	Epoch   26	Batch   3	Step    264	Loss 1.608158	UAR 0.200000	lr 0.000264
Train: 	Epoch   26	Batch   4	Step    265	Loss 1.608150	UAR 0.280000	lr 0.000265
Train: 	Epoch   26	Batch   5	Step    266	Loss 1.608151	UAR 0.200000	lr 0.000266
Train: 	Epoch   26	Batch   6	Step    267	Loss 1.608159	UAR 0.220000	lr 0.000267
Train: 	Epoch   26	Batch   7	Step    268	Loss 1.608161	UAR 0.200000	lr 0.000268
Train: 	Epoch   26	Batch   8	Step    269	Loss 1.608165	UAR 0.233333	lr 0.000269
Train: 	Epoch   26	Batch   9	Step    270	Loss 1.608165	UAR 0.200000	lr 0.000270
Validate: 	Loss 1.607507	UAR 0.267857
Train: 	Epoch   27	Batch   0	Step    271	Loss 1.608167	UAR 0.233333	lr 0.000271
